Company,Job Title,Job Description
Aristocrat,Sr Engineer I - Game Testing,"Test digital games for online and mobile platforms. Collaborate with QA leads to design and execute test cases. Identify and report bugs, suggest process improvements, and ensure flawless performance. Requires 2+ years of testing experience, preferably in game testing. Strong communication, problem-solving, and attention to detail. Automation experience is a plus."
Aristocrat,Sr Engineer II - QA Manual,"Perform manual QA testing for gaming applications. Build and execute test cases, analyze product requirements, and report defects. Collaborate with cross-functional teams to improve testing processes. Requires prior QA experience and strong analytical skills."
Marriott Tech Accelerator,Senior Quality Engineer I - Functional Testing,"Responsible for manual functional testing of enterprise applications. Design test strategies, execute regression and system tests, and ensure compliance with business requirements. Requires strong manual testing background and ability to work in fast-paced environments."
HuntingCube,Manual Tester,"Conduct manual testing of applications. Execute functional and regression test cases, document defects, and collaborate with developers. Role offers INR 100K annually. Requires prior manual testing experience."
MeeTri Infotech,Manual Tester - Immediate Joiner,"Perform manual testing for enterprise applications. Immediate joiner required. Responsibilities include test case execution, bug reporting, and regression testing. Must have strong QA fundamentals."
Agivant Technologies,Senior QA Engineer,"Perform manual and automation testing for enterprise software. Collaborate with QA teams to design test cases, execute regression suites, and report defects. Requires strong QA background and hands-on testing experience."
Happiest Minds Technologies,Senior Test Engineer - Manual Testing,"Responsible for manual testing of enterprise applications. Execute test cases, identify defects, and ensure product quality. Requires strong manual testing skills and ability to work independently."
EXL,QA Engineer (B1) - Paymentor,"Perform QA testing for payment solutions. Responsibilities include functional testing, defect reporting, and regression testing. Requires prior QA experience and knowledge of payment systems."
Wobot AI,Testing Engineer,"Conduct manual and automation testing for AI-driven applications. Responsibilities include test case design, execution, and bug reporting. Requires strong QA fundamentals and interest in AI testing."
Flexiple,Quality Assurance Engineer,"Remote QA role. Perform manual and automation testing for client applications. Collaborate with developers, execute regression suites, and report defects. Requires prior QA experience and ability to work independently."
