Company,Job Title,Job Description
Shashwath Solution,Senior Automation Engineer - E2E Testing & DevOps,"Work on automation frameworks, DevOps pipelines, and end-to-end testing solutions."
Crescendo Global Leadership Hiring India,Automation Tester,"Perform automation testing, create test scripts, and ensure quality delivery."
Agelix Consulting,QA Test Lead,"Lead QA teams, manage test planning, and oversee execution of test cases."
Vensure,QA Engineer,"Execute manual and automation testing, report defects, and collaborate with developers."
Teamware Solutions,QE Software Engineer,"Develop and maintain test automation frameworks, ensure product quality."
Salmon Commerce,AEM QA Engineer,"Test Adobe Experience Manager applications, validate functionality and performance."
Forward Eye Technologies,Automation Test Engineer,"Design and implement automated test cases, improve test coverage."
Chiacon Consulting,QA Engineer - Playwright,"Use Playwright for automation testing, ensure regression suite stability."
Workoid Consultants,Testing Engineer QAE,"Perform functional and regression testing, validate system performance."
Techneplus Software India,Temenos T24 Test Engineer,"Test Temenos T24 banking software, validate modules and workflows."
